timestamp,alert
2026-06-14 11:39:05.948600,Vehicle Left Safe Zone
2026-06-14 11:39:05.956819,Vehicle Theft Suspected
2026-06-14 11:39:11.004169,Vehicle Left Safe Zone
2026-06-14 11:39:11.010545,Vehicle Theft Suspected
2026-06-14 11:39:16.062286,Vehicle Left Safe Zone
2026-06-14 11:39:16.070607,Vehicle Theft Suspected
2026-06-14 11:39:21.133470,Vehicle Left Safe Zone
2026-06-14 11:39:21.140022,Vehicle Theft Suspected
2026-06-14 11:39:28.793980,Vehicle Left Safe Zone
2026-06-14 11:39:28.802220,Vehicle Theft Suspected
2026-06-14 11:39:33.882762,Vehicle Left Safe Zone
2026-06-14 11:39:33.890641,Vehicle Theft Suspected
2026-06-14 11:39:38.962892,Vehicle Left Safe Zone
2026-06-14 11:39:38.970825,Vehicle Theft Suspected
